configuration,feature,mean_abs_shap,rank,abbreviation,family
leaves_low,def_mm_mean_2000_2025,0.00013693334767594934,38,CWDm,Climate
leaves_low,ssrd_wm2_mean_2000_2025,0.00013248833420220762,39,SRADm,Climate
leaves_low,runoff_mm_slope_2000_2025,0.00012636062456294894,40,RUNs,Hydrology
leaves_low,tmean_c_mean_2000_2025,0.00012466413318179548,41,TEMPm,Climate
leaves_low,soil_water_rootzone_mean_2000_2025,0.00012372135824989527,42,SWRm,Hydrology
leaves_low,pet_mm_mean_2000_2025,0.00012280185183044523,43,PETm,Climate
leaves_low,vpd_kpa_mean_2000_2025,0.00012135993165429682,44,VPDm,Climate
leaves_low,tmean_c_slope_2000_2025,0.00010783494508359581,45,TEMPs,Climate
leaves_low,soil_water_top_mean_2000_2025,0.00010502753866603598,46,SWTm,Hydrology
leaves_low,pop_log_change_2000_2020_per_year,8.501788397552446e-05,47,POPs,Human activity
leaves_low,water_frac_mean_2000_2025,5.4098454711493105e-05,48,WATm,Land cover
leaves_low,hydro_stream_distance_km,3.349884718772955e-05,49,SDIST,Hydrology
leaves_low,grass_frac_mean_2000_2025,3.30097354890313e-05,50,GRSm,Land cover
leaves_low,mcnt2k,2.0279892851249315e-05,51,MCNT2,Human activity
leaves_low,mining_disturbance_intensity_2000_2025,2.0277888324926607e-05,52,MDI,Human activity
leaves_low,water_frac_slope_2000_2025,1.709928983473219e-05,53,WATs,Land cover
leaves_low,shrub_frac_mean_2000_2025,8.862915819918271e-06,54,SHRm,Land cover
leaves_low,barren_frac_mean_2000_2025,8.240628631028812e-06,55,BARm,Land cover
leaves_low,barren_frac_slope_2000_2025,3.6537808227876667e-06,56,BARs,Land cover
leaves_low,shrub_frac_slope_2000_2025,9.571205055181053e-07,57,SHRs,Land cover
leaves_high,forest_frac_slope_2000_2025,0.0033040044363588095,1,FORs,Land cover
leaves_high,mndwi_mean_2000_2025,0.0012098564766347408,2,MNDWIm,Hydrology
leaves_high,mndwi_slope_2000_2025,0.0011886070715263486,3,MNDWIs,Hydrology
leaves_high,built_frac_slope_2000_2025,0.0011474526254460216,4,BLTs,Land cover
leaves_high,forest_frac_mean_2000_2025,0.001035747118294239,5,FORm,Land cover
leaves_high,cropland_frac_slope_2000_2025,0.000829795200843364,6,CRPs,Land cover
leaves_high,cropland_frac_mean_2000_2025,0.0006904723704792559,7,CRPm,Land cover
leaves_high,slope_mean,0.0006632329896092415,8,SLOPE,Terrain
leaves_high,terrain_northness_mean,0.0005921804695390165,9,NORTH,Terrain
leaves_high,ssrd_wm2_slope_2000_2025,0.00046110397670418024,10,SRADs,Climate
leaves_high,grass_frac_slope_2000_2025,0.00043539845501072705,11,GRSs,Land cover
leaves_high,pdsi_slope_2000_2025,0.00040760476258583367,12,PDSIs,Hydrology
leaves_high,elevation_mean,0.0003692934405989945,13,ELEV,Terrain
leaves_high,terrain_tpi_5km,0.0003227145061828196,14,TPI5,Terrain
leaves_high,hydro_hand_m,0.00030790705932304263,15,HAND,Hydrology
leaves_high,soil_water_top_slope_2000_2025,0.00025160127552226186,16,SWTs,Hydrology
leaves_high,ntl_viirs_slope_2014_2025,0.000249368924414739,17,NTLs,Human activity
leaves_high,soil_water_rootzone_slope_2000_2025,0.00024533396936021745,18,SWRs,Hydrology
leaves_high,pop_log_density_2000,0.00024500355357304215,19,POP,Human activity
leaves_high,mkde3k,0.00024292257148772478,20,MKDE3,Human activity
leaves_high,road_dist_km,0.00023401746875606477,21,RDIST,Human activity
leaves_high,ntl_viirs_mean_2014_2025,0.00022398112923838198,22,NTLm,Human activity
leaves_high,terrain_eastness_mean,0.0002214061823906377,23,EAST,Terrain
leaves_high,prcp_mm_slope_2000_2025,0.00021529504738282412,24,PRCPs,Climate
leaves_high,built_frac_mean_2000_2025,0.00020418300118763,25,BLTm,Land cover
leaves_high,pdsi_mean_2000_2025,0.00019891357806045562,26,PDSIm,Hydrology
leaves_high,hydro_log_upstream_area,0.0001948623248608783,27,UPA,Hydrology
leaves_high,prcp_mm_mean_2000_2025,0.00019429382518865168,28,PRCPm,Climate
leaves_high,hydro_twi_proxy,0.00019121955847367644,29,TWI,Hydrology
leaves_high,mdist_km,0.00018530480156186968,30,MDIST,Human activity
leaves_high,aet_mm_slope_2000_2025,0.00018457690021023154,31,AETs,Climate
leaves_high,terrain_tpi_1km,0.00017236480198334903,32,TPI1,Terrain
leaves_high,def_mm_slope_2000_2025,0.0001497174525866285,33,CWDs,Climate
leaves_high,vpd_kpa_slope_2000_2025,0.00014826578262727708,34,VPDs,Climate
leaves_high,aet_mm_mean_2000_2025,0.0001404355134582147,35,AETm,Climate
leaves_high,runoff_mm_mean_2000_2025,0.0001299266587011516,36,RUNm,Hydrology
leaves_high,ssrd_wm2_mean_2000_2025,0.0001276300026802346,37,SRADm,Climate
leaves_high,pet_mm_mean_2000_2025,0.00011562508007045835,38,PETm,Climate
leaves_high,runoff_mm_slope_2000_2025,0.00011023931438103318,39,RUNs,Hydrology
leaves_high,vpd_kpa_mean_2000_2025,0.00010890743578784168,40,VPDm,Climate
leaves_high,pet_mm_slope_2000_2025,0.00010675506200641394,41,PETs,Climate
leaves_high,tmean_c_slope_2000_2025,0.00010669395123841241,42,TEMPs,Climate
leaves_high,def_mm_mean_2000_2025,0.00010429650137666613,43,CWDm,Climate
leaves_high,tmean_c_mean_2000_2025,0.00010282919538440183,44,TEMPm,Climate
leaves_high,soil_water_rootzone_mean_2000_2025,0.00010124996333615854,45,SWRm,Hydrology
leaves_high,soil_water_top_mean_2000_2025,0.00010067845141747966,46,SWTm,Hydrology
leaves_high,pop_log_change_2000_2020_per_year,8.512981730746105e-05,47,POPs,Human activity
leaves_high,water_frac_mean_2000_2025,4.6984117943793535e-05,48,WATm,Land cover
leaves_high,grass_frac_mean_2000_2025,4.034563244204037e-05,49,GRSm,Land cover
leaves_high,hydro_stream_distance_km,3.0324528779601678e-05,50,SDIST,Hydrology
leaves_high,mcnt2k,2.2115236788522452e-05,51,MCNT2,Human activity
leaves_high,mining_disturbance_intensity_2000_2025,1.8231683498015627e-05,52,MDI,Human activity
