stage,year,method,component_a,component_b,correlation,n_records
raw,2025,spearman,kndvi_mean,nbr_mean,0.9636759923671038,38281
raw,2025,spearman,kndvi_mean,ndmi_mean,0.9338603084138707,38281
raw,2025,spearman,kndvi_mean,bsi_mean,-0.9637992775369567,38281
raw,2025,spearman,nbr_mean,ndmi_mean,0.9887961674152389,38281
raw,2025,spearman,nbr_mean,bsi_mean,-0.9940644241416738,38281
raw,2025,spearman,ndmi_mean,bsi_mean,-0.9928902320943431,38281
raw,pooled_cell_years,pearson,kndvi_mean,nbr_mean,0.9228207008266347,995306
raw,pooled_cell_years,pearson,kndvi_mean,ndmi_mean,0.8995893039669564,995306
raw,pooled_cell_years,pearson,kndvi_mean,bsi_mean,-0.9424217367765542,995306
raw,pooled_cell_years,pearson,nbr_mean,ndmi_mean,0.9777929045090611,995306
raw,pooled_cell_years,pearson,nbr_mean,bsi_mean,-0.9788425411269985,995306
raw,pooled_cell_years,pearson,ndmi_mean,bsi_mean,-0.9888224454942759,995306
raw,pooled_cell_years,spearman,kndvi_mean,nbr_mean,0.922930242704347,995306
raw,pooled_cell_years,spearman,kndvi_mean,ndmi_mean,0.9078752268430005,995306
raw,pooled_cell_years,spearman,kndvi_mean,bsi_mean,-0.946980590935581,995306
raw,pooled_cell_years,spearman,nbr_mean,ndmi_mean,0.9853384448502717,995306
raw,pooled_cell_years,spearman,nbr_mean,bsi_mean,-0.9883949576721911,995306
raw,pooled_cell_years,spearman,ndmi_mean,bsi_mean,-0.9894711687523828,995306
scaled_ECI_components,2000,pearson,kndvi_mean,nbr_mean,0.939641731638201,38281
scaled_ECI_components,2000,pearson,kndvi_mean,ndmi_mean,0.8906745982659063,38281
scaled_ECI_components,2000,pearson,kndvi_mean,bsi_mean,0.9459982852774091,38281
scaled_ECI_components,2000,pearson,nbr_mean,ndmi_mean,0.9794653681068963,38281
scaled_ECI_components,2000,pearson,nbr_mean,bsi_mean,0.9858179628000364,38281
scaled_ECI_components,2000,pearson,ndmi_mean,bsi_mean,0.9845650439240248,38281
scaled_ECI_components,2000,spearman,kndvi_mean,nbr_mean,0.9443015472768533,38281
scaled_ECI_components,2000,spearman,kndvi_mean,ndmi_mean,0.8997744562758873,38281
scaled_ECI_components,2000,spearman,kndvi_mean,bsi_mean,0.948959139827027,38281
scaled_ECI_components,2000,spearman,nbr_mean,ndmi_mean,0.983885243137035,38281
scaled_ECI_components,2000,spearman,nbr_mean,bsi_mean,0.991363015547803,38281
scaled_ECI_components,2000,spearman,ndmi_mean,bsi_mean,0.9859448635922754,38281
scaled_ECI_components,2001,pearson,kndvi_mean,nbr_mean,0.9355575943841105,38281
scaled_ECI_components,2001,pearson,kndvi_mean,ndmi_mean,0.892644540583101,38281
scaled_ECI_components,2001,pearson,kndvi_mean,bsi_mean,0.9487994727408879,38281
scaled_ECI_components,2001,pearson,nbr_mean,ndmi_mean,0.9834321620334616,38281
scaled_ECI_components,2001,pearson,nbr_mean,bsi_mean,0.9862654824535203,38281
scaled_ECI_components,2001,pearson,ndmi_mean,bsi_mean,0.9844437276249715,38281
scaled_ECI_components,2001,spearman,kndvi_mean,nbr_mean,0.938507952271026,38281
scaled_ECI_components,2001,spearman,kndvi_mean,ndmi_mean,0.9015568138249095,38281
scaled_ECI_components,2001,spearman,kndvi_mean,bsi_mean,0.9513878874590499,38281
scaled_ECI_components,2001,spearman,nbr_mean,ndmi_mean,0.9877462639819535,38281
scaled_ECI_components,2001,spearman,nbr_mean,bsi_mean,0.9916507176764283,38281
scaled_ECI_components,2001,spearman,ndmi_mean,bsi_mean,0.9857990503343608,38281
scaled_ECI_components,2002,pearson,kndvi_mean,nbr_mean,0.9143483654832524,38281
scaled_ECI_components,2002,pearson,kndvi_mean,ndmi_mean,0.8767501592104315,38281
scaled_ECI_components,2002,pearson,kndvi_mean,bsi_mean,0.931259260966848,38281
scaled_ECI_components,2002,pearson,nbr_mean,ndmi_mean,0.9839486389754576,38281
scaled_ECI_components,2002,pearson,nbr_mean,bsi_mean,0.9849903907896076,38281
scaled_ECI_components,2002,pearson,ndmi_mean,bsi_mean,0.984909461458425,38281
scaled_ECI_components,2002,spearman,kndvi_mean,nbr_mean,0.921889081970227,38281
scaled_ECI_components,2002,spearman,kndvi_mean,ndmi_mean,0.8849907022621389,38281
scaled_ECI_components,2002,spearman,kndvi_mean,bsi_mean,0.9342432895048357,38281
