stage,year,component,n,mean,median,q25,q75
scaled_ECI_components,2017,kndvi_mean,38281,0.7023119793864591,0.7522452066029992,0.5539479962112182,0.8940898789793535
scaled_ECI_components,2017,nbr_mean,38281,0.6841254943107514,0.7351575587560446,0.5280204916992072,0.8790249122647789
scaled_ECI_components,2017,ndmi_mean,38281,0.6505932239219,0.6880467228925435,0.4773215310731554,0.8481718100378718
scaled_ECI_components,2017,bsi_mean,38281,0.6451849808897911,0.6823828986749259,0.46269296697268214,0.8513754772898886
scaled_ECI_components,2018,kndvi_mean,38281,0.6739873070374507,0.7196524327132184,0.5101111954002817,0.8740426952372057
scaled_ECI_components,2018,nbr_mean,38281,0.6585168985478236,0.7066296787267652,0.48811623213596733,0.8611944265006728
scaled_ECI_components,2018,ndmi_mean,38281,0.6329225642933807,0.667335500470185,0.44744843243383614,0.8392661818165854
scaled_ECI_components,2018,bsi_mean,38281,0.6175843206563084,0.6508904557505348,0.4203567880367257,0.8339343073127788
scaled_ECI_components,2019,kndvi_mean,38281,0.7007010476248073,0.7545539669822231,0.5525245970605243,0.8942902894588668
scaled_ECI_components,2019,nbr_mean,38281,0.6877171527385161,0.7436238497769702,0.5324374994582075,0.8857927978237862
scaled_ECI_components,2019,ndmi_mean,38281,0.6570633983185086,0.6996440843644036,0.4858996161578848,0.8595128255116162
scaled_ECI_components,2019,bsi_mean,38281,0.6451935093229058,0.6871590250984321,0.46294496975887167,0.8557248630248173
scaled_ECI_components,2020,kndvi_mean,38281,0.6543061680678097,0.6970760033936381,0.5027606461321025,0.8405286278092725
scaled_ECI_components,2020,nbr_mean,38281,0.6570316555110319,0.7029773625930592,0.4939163566906877,0.8547239354402018
scaled_ECI_components,2020,ndmi_mean,38281,0.6255772809884742,0.6589365625377108,0.45201458676233547,0.82387745883775
scaled_ECI_components,2020,bsi_mean,38281,0.6092788777685808,0.6418544183432009,0.4274946867408017,0.8112020112200451
scaled_ECI_components,2021,kndvi_mean,38281,0.6645519418572083,0.7248584160286381,0.49991633677608455,0.8670207169302061
scaled_ECI_components,2021,nbr_mean,38281,0.6401931021532612,0.705951887545276,0.4547355481555363,0.860087770300457
scaled_ECI_components,2021,ndmi_mean,38281,0.5910563212043409,0.6413083920545334,0.384764748092302,0.8173867991121738
scaled_ECI_components,2021,bsi_mean,38281,0.5925127148588151,0.6420932142372271,0.3831419107604578,0.8204674300820143
scaled_ECI_components,2022,kndvi_mean,38281,0.7350048663185749,0.7890657302489958,0.5958738621643358,0.9214983036252511
scaled_ECI_components,2022,nbr_mean,38281,0.7216647678575073,0.7799330044170498,0.5676232861976254,0.9225815609379248
scaled_ECI_components,2022,ndmi_mean,38281,0.6971734691216053,0.7429217247741584,0.5251869499542696,0.9048597082977765
scaled_ECI_components,2022,bsi_mean,38281,0.6868670590465059,0.7325213732902481,0.5047464060255145,0.9009433878613233
scaled_ECI_components,2023,kndvi_mean,38281,0.678392050156086,0.7276925166236919,0.538246334053259,0.8593719504428031
scaled_ECI_components,2023,nbr_mean,38281,0.6549894687887227,0.7061416762534435,0.499753850644518,0.8470952157344006
scaled_ECI_components,2023,ndmi_mean,38281,0.6248036385448932,0.6642154624468335,0.4514144289011976,0.821502637085976
scaled_ECI_components,2023,bsi_mean,38281,0.6207136638279559,0.6590936978521365,0.44386187745923966,0.8176514125317813
scaled_ECI_components,2024,kndvi_mean,38281,0.7570661048437933,0.8123191474661999,0.643406132468359,0.9246385761015863
scaled_ECI_components,2024,nbr_mean,38281,0.7178577738834357,0.7674475646280601,0.5902733334612023,0.8931405746265749
scaled_ECI_components,2024,ndmi_mean,38281,0.6981377015056001,0.7354779456465518,0.55670904139723,0.8758859666232538
scaled_ECI_components,2024,bsi_mean,38281,0.6968246301684144,0.7375926891220885,0.5469348452490161,0.8817241363784288
scaled_ECI_components,2025,kndvi_mean,38281,0.7042071620410404,0.7612388919637122,0.5635609076901328,0.8918451352888008
scaled_ECI_components,2025,nbr_mean,38281,0.6701574528104431,0.7302286232134457,0.5143711114989528,0.8710432998908098
scaled_ECI_components,2025,ndmi_mean,38281,0.6394218739616503,0.687851077947927,0.46342502624975973,0.8473885702440226
scaled_ECI_components,2025,bsi_mean,38281,0.6364225465757833,0.6836640914058889,0.4540384628811923,0.8473196309546422
scaled_ECI_components,pooled_cell_years,kndvi_mean,995306,0.6012013573144467,0.6357113120070697,0.42203009190037555,0.811109234505119
scaled_ECI_components,pooled_cell_years,nbr_mean,995306,0.6247278590772937,0.670490131990499,0.4564623643477814,0.8246490945220071
scaled_ECI_components,pooled_cell_years,ndmi_mean,995306,0.5672957335231062,0.5950314699047579,0.38882057836837036,0.7628650492405632
scaled_ECI_components,pooled_cell_years,bsi_mean,995306,0.5597188342211387,0.5859259473834562,0.37210364319157074,0.7617689490831836
